image,rule_group,whiteness,edge,color,horizontal,texture
E:\RC11\term 2\draft\3.1\G1_structural_design\555413692f.jpg,1,0.861367404,0.092810817,0.002912729,0.509449482,0.003317268
E:\RC11\term 2\draft\3.1\G1_structural_design\563d09c875.jpg,1,0.329231828,0.072167993,0.016827557,0.494577438,0.000870041
E:\RC11\term 2\draft\3.1\G1_structural_design\5651f76290.jpg,1,0.880062401,0.129716575,0.001962036,0.530232489,0.002045838
E:\RC11\term 2\draft\3.1\G1_structural_design\566410f88d.jpg,1,0.788897514,0.247753903,0.00450374,0.497073561,0.011896292
E:\RC11\term 2\draft\3.1\G1_structural_design\575aa06a5e.jpg,1,0.890728712,0.114364624,0.003948365,0.504578531,0.003128693
E:\RC11\term 2\draft\3.1\G1_structural_design\595613a09c.jpg,1,0.843009055,0.142528906,0.003652506,0.482256502,0.00279269
E:\RC11\term 2\draft\3.1\G1_structural_design\5bbfd3d89d.jpg,1,0.784579456,0.096042521,0.001723263,0.485609919,0.002178317
E:\RC11\term 2\draft\3.1\G1_structural_design\5c40280ba1.jpg,1,0.712761343,0.164049253,3.73E-16,0.426576406,0.006739158
E:\RC11\term 2\draft\3.1\G1_structural_design\5df5984e40.jpg,1,0.806457043,0.091381371,0.001485803,0.488582194,0.001934776
E:\RC11\term 2\draft\3.1\G1_structural_design\5ef5acebaf.jpg,1,0.852723956,0.149264127,0.003377995,0.532776356,0.00173732
E:\RC11\term 2\draft\3.1\G1_structural_design\61ed438944.jpg,1,0.899973273,0.102069728,0.002710534,0.458903283,0.001421348
E:\RC11\term 2\draft\3.1\G1_structural_design\62308fb73d.jpg,1,0.815496325,0.121837527,0.000308729,0.513261795,0.002169053
E:\RC11\term 2\draft\3.1\G1_structural_design\624db77ba1.jpg,1,0.813924611,0.147897452,0.002117036,0.492819488,0.0071269
E:\RC11\term 2\draft\3.1\G1_structural_design\63eeac1db6.jpg,1,0.809041321,0.191312671,0.000504713,0.507213712,0.005651181
E:\RC11\term 2\draft\3.1\G1_structural_design\6580577abd.jpg,1,0.77530843,0.126013219,0.008959927,0.500918627,0.003003565
E:\RC11\term 2\draft\3.1\G1_structural_design\66a8cb830a.jpg,1,0.867190063,0.073899433,0.001325236,0.530678034,0.000600097
E:\RC11\term 2\draft\3.1\G1_structural_design\67c71f8e95.jpg,1,0.852462351,0.133202359,0.002035663,0.532639444,0.005231932
